breed,akc_group,datadog_score,popularity_in_usa,lifetime_cost,easiest_to_train,longevity,genetic_ailments,purchase_price,food_cost,grooming_required,suitability_children,popularity_rating,size
Border Collie,herding,3.64,45,"$20,143",1,12.52,2,$623,$324,2,3,45,medium
Border Terrier,terrier,3.61,80,"$22,638",30,14.00,0,$833,$324,2,1,80,small
Brittany,sporting,3.54,30,"$22,589",19,12.92,0,$618,$466,2,2,30,medium
Cairn Terrier,terrier,3.53,59,"$21,992",35,13.84,2,$435,$324,2,1,59,small
Welsh Springer Spaniel,sporting,3.34,130,"$20,224",31,12.49,1,$750,$324,2,1,130,medium
English Cocker Spaniel,sporting,3.33,63,"$18,993",18,11.66,0,$800,$324,2,1,63,medium
Cocker Spaniel,sporting,3.3,27,"$24,330",20,12.50,2,$465,$674,2,1,27,small
Papillon,toy,3.26,38,"$21,001",8,13.00,5,$740,$324,2,2,38,small
Australian Cattle Dog,herding,3.25,60,"$20,395",10,11.67,1,$530,$466,2,3,60,medium
Shetland Sheepdog,herding,3.22,20,"$21,006",6,12.53,5,$465,$405,1,1,20,small
Siberian Husky,working,3.22,16,"$22,049",45,12.58,0,$650,$466,3,1,16,medium
Lhasa Apso,non-sporting,3.21,62,"$22,031",68,13.92,1,$350,$324,2,1,62,small
Affenpinscher,toy,3.2,139,"$18,333",37,11.42,0,$510,$324,2,2,139,small
Dachshund,hound,3.19,9,"$20,113",49,12.63,2,$423,$324,2,3,9,small
Miniature Schnauzer,terrier,3.19,12,"$20,087",12,11.81,2,$715,$405,2,2,12,small
Chihuahua,toy,3.15,14,"$26,250",67,16.50,1,$588,$324,2,3,14,small
Australian Terrier,terrier,3.11,121,"$17,892",34,11.05,0,$640,$324,2,2,121,small
Whippet,hound,3.11,57,"$20,976",51,12.87,0,$915,$324,2,2,57,medium
English Springer Spaniel,sporting,3.09,29,"$21,946",13,12.54,4,$615,$466,2,1,29,medium
West Highland White Terrier,terrier,3.08,35,"$20,490",47,12.80,3,$538,$324,2,1,35,small
Bedlington Terrier,terrier,3.07,134,"$22,107",40,13.51,2,"$1,058",$324,2,2,134,small
Poodle,non-sporting,3.04,8,"$21,237",2,11.95,2,$900,$466,2,2,8,medium
Bichon Frise,non-sporting,3.03,39,"$19,735",45,12.21,0,$693,$324,1,1,39,small
German Shorthaired Pointer,sporting,3.03,15,"$25,842",17,11.46,1,$545,$971,2,1,15,large
Pointer,sporting,3.03,115,"$24,445",43,12.42,1,$294,$710,2,1,115,large
Tibetan Spaniel,non-sporting,3.02,114,"$25,549",46,14.42,0,"$1,050",$466,2,1,114,small
Labrador Retriever,sporting,2.97,1,"$21,299",7,12.04,3,$810,$466,2,1,1,medium
Maltese,toy,2.93,23,"$19,084",59,12.25,1,$650,$270,1,3,23,small
Pomeranian,toy,2.93,17,"$15,792",23,9.67,1,$670,$324,2,2,17,small
Shih Tzu,toy,2.93,11,"$21,152",70,13.20,1,$583,$324,1,1,11,small
Australian Shepherd,herding,2.91,24,"$21,458",42,12.28,2,$565,$466,2,2,24,medium
Yorkshire Terrier,toy,2.85,5,"$20,701",27,12.60,4,"$1,057",$324,1,3,5,small
Irish Setter,sporting,2.84,70,"$20,323",35,11.63,2,$525,$466,2,1,70,large
Pharaoh Hound,hound,2.81,151,"$21,047",37,11.83,0,$913,$466,2,2,151,medium
Brussels Griffon,toy,2.8,77,"$19,551",59,12.00,0,$833,$324,2,3,77,small
Golden Retriever,sporting,2.8,4,"$21,447",4,12.04,4,$958,$466,2,1,4,medium
Samoyed,working,2.8,69,"$25,352",33,12.44,1,"$1,162",$710,2,1,69,medium
Beagle,hound,2.79,3,"$19,468",73,12.30,1,$288,$324,1,1,3,small
Chesapeake Bay Retriever,sporting,2.78,46,"$16,697",27,9.48,1,$522,$466,2,1,46,large
Tibetan Terrier,non-sporting,2.75,86,"$20,336",62,12.31,0,"$1,140",$324,2,2,86,small
Gordon Setter,sporting,2.73,94,"$19,605",34,11.10,1,$700,$466,2,1,94,large
English Setter,sporting,2.72,87,"$20,312",37,11.57,2,$615,$466,2,1,87,large
Pug,toy,2.72,26,"$18,527",57,11.00,1,$469,$405,2,1,26,medium
Briard,herding,2.71,125,"$19,673",30,11.17,1,$650,$466,1,1,125,large
Norfolk Terrier,terrier,2.71,120,"$24,308",56,13.07,0,"$2,083",$466,2,2,120,small
Flat-Coated Retriever,sporting,2.7,90,"$16,000",18,9.02,0,$600,$466,1,1,90,medium
Boston Terrier,non-sporting,2.61,22,"$17,741",54,10.92,1,$690,$324,2,1,22,medium
Doberman Pinscher,working,2.59,13,"$18,397",5,10.33,4,$790,$466,2,2,13,large
English Toy Spaniel,toy,2.59,129,"$17,521",45,10.10,0,$925,$405,2,2,129,small
Belgian Tervuren,herding,2.57,108,"$19,132",14,10.60,2,"$1,070",$466,2,1,108,large
Cavalier King Charles Spaniel,toy,2.57,21,"$18,639",44,11.29,2,"$1,017",$324,2,1,21,small
Dalmatian,non-sporting,2.57,73,"$19,886",39,11.27,2,$695,$466,2,1,73,medium
Basset Hound,hound,2.54,41,"$18,328",71,11.43,2,$490,$324,2,1,41,small
Basenji,hound,2.51,93,"$22,096",79,13.58,3,$940,$324,2,2,93,medium
Italian Greyhound,toy,2.49,65,"$16,463",60,10.02,0,$800,$324,2,3,65,small
Staffordshire Bull Terrier,terrier,2.48,76,"$21,650",49,12.05,1,"$1,145",$466,2,1,76,medium
Bouvier des Flandres,herding,2.47,83,"$18,959",29,10.34,1,"$1,335",$466,2,1,83,large
Pembroke Welsh Corgi,herding,2.45,25,"$23,978",11,12.25,9,$587,$674,2,1,25,small
Clumber Spaniel,sporting,2.44,133,"$18,084",37,10.00,0,"$1,033",$466,2,1,133,medium
Dandie Dinmont Terrier,terrier,2.42,160,"$21,633",62,12.17,0,$925,$466,1,1,160,small
Saluki,hound,2.41,117,"$24,866",43,12.00,0,"$1,525",$710,1,1,117,medium
Giant Schnauzer,working,2.38,95,"$26,686",28,10.00,1,$810,"$1,349",1,2,95,large
Greyhound,hound,2.29,140,"$15,819",46,9.36,1,"$1,175",$324,2,1,140,large
